School Name,Fiscal Year-Private,Cycle-Private,Mail Address,Mail City,Mail State,Mail Zip,Administrator Prefix,Administrator First Name,Administrator Middle Name,Administrator Last Name,District Description,District LEA,Students Enrolled,Low Grade Level,High Grade Level,Title I Federal Programs,Title II Federal Programs,Title IV Drug Free Schools,Title VI
RIDGEFIELD CHRISTIAN SCHOOL - ,32,6,3824 Casey Springs Rd         ,Jonesboro           ,AR,72404,    ,Matt                ,               ,Brewer                   ,JONESBORO SCHOOL DISTRICT,1608000,47,K ,12,N,N,N,
RIDGEWAY CHRISTIAN SCHOOL - PI,32,6,3201 Ridgeway Road            ,Pine Bluff          ,AR,71603,Mr. ,Charles             ,R.             ,Cobbs                    ,PINE BLUFF SCHOOL DISTRICT,3505000,256,K ,12,N,N,N,
SACRED HEART CATHOLIC - MORRIL,32,6,106 N St Joseph               ,Morrilton           ,AR,72110,Mr  ,Robert              ,               ,Greeson                  ,SOUTH CONWAY COUNTY SCHOOL DISTRICT,1507000,237,K ,12,Y,N,N,
SALEM LUTHERAN SCHOOLS        ,32,6,1800 West Emma Ave.           ,Springdale          ,AR,72762,    ,Kris                ,               ,Busch                    ,SPRINGDALE SCHOOL DISTRICT,7207000,163,P ,5,N,N,N,
SHILOH CHRISTIAN SCHOOLS - SPR,32,6,1707 Johnson Road             ,Springdale          ,AR,72762,    ,Greg                ,               ,Jones                    ,SPRINGDALE SCHOOL DISTRICT,7207000,876,P ,12,N,N,N,
SOUTH ARKANSAS CHRISTIAN SCHOO,32,6,P O Box 990                   ,Lewisville          ,AR,71845,Mr  ,Andy                ,               ,Hawkins                  ,LAFAYETTE COUNTY SCHOOL DISTRICT,3704000,42,K ,12,N,N,N,
SPRINGDALE ADVENTIST SCHOOL   ,32,6,4001 Don Tyson Pkwy           ,Springdale          ,AR,72762,    ,Mrs.                ,               ,Jenkins                  ,SPRINGDALE SCHOOL DISTRICT,7207000,22,P ,8,N,N,N,
ST. JOHN'S CATHOLIC SCHOOL-HOT,32,6,"583 West Grand Ave, Ste B     ",Hot Springs         ,AR,71901,    ,Janet               ,               ,Edgar                    ,HOT SPRINGS SCHOOL DISTRICT,2603000,71,K ,8,Y,Y,Y,
ST. JOHN'S CATHOLIC SCHOOL-HOT,32,6,583 West Grand                ,Hot Springs         ,AR,71901,Mrs.,Angela              ,               ,Isaacs                   ,MOUNTAIN PINE SCHOOL DISTRICT,2607000,2,K ,8,Y,N,N,
ST. JOHN'S CATHOLIC SCHOOL-HOT,32,6,583 W Grand Ave               ,Hot Springs         ,AR,71901,Ms. ,Angela              ,               ,Isaacs                   ,LAKE HAMILTON SCHOOL DISTRICT,2605000,12,P ,8,Y,N,N,
ST. JOHN'S CATHOLIC SCHOOL-RUS,32,6,1912 W Main                   ,Russellville        ,AR,72801,Mrs.,Vivian              ,               ,Fox                      ,POTTSVILLE SCHOOL DISTRICT,5804000,0,P ,5,N,Y,N,
ST. JOHN'S CATHOLIC SCHOOL-RUS,32,6,1912 West Main                ,Russellville        ,AR,72801,Ms  ,Vian                ,               ,Fox                      ,DARDANELLE SCHOOL DISTRICT,7504000,84,K ,5,N,N,N,
ST. JOHN'S CATHOLIC SCHOOL-RUS,32,6,1912 West Main                ,Russellville        ,AR,72802,TYL ,Vivian              ,               ,Fox                      ,RUSSELLVILLE SCHOOL DISTRICT,5805000,65,K ,5,N,Y,N,
ST. JOHN'S LUTHERAN - STUTTGAR,32,6,2019 S. Buerkle               ,Stuttgart           ,AR,72160,Ms. ,Kristian            ,               ,Dabbs                    ,STUTTGART SCHOOL DISTRICT,104000,137,P ,6,N,Y,N,
ST. JOSEPH CATHOLIC SCHOOL-CON,32,6,502 Front St                  ,Conway              ,AR,72032,    ,Matthew             ,               ,Tucker                   ,CONWAY SCHOOL DISTRICT,2301000,484,P ,12,N,N,N,
ST. JOSEPH CATHOLIC SCHOOL-FAY,32,6,1722 N. Starr Drive           ,Fayetteville        ,Ar,72701,MR. ,JASON               ,               ,POHLMEIER                ,ELKINS SCHOOL DISTRICT,7201000,2,K ,5,Y,N,N,
ST. JOSEPH CATHOLIC SCHOOL-FAY,32,6,1722 N Starr Dr               ,Fayetteville        ,AR,72701,Mr. ,Jason               ,               ,Pohlmeier                ,FAYETTEVILLE SCHOOL DISTRICT,7203000,313,P ,8,Y,Y,Y,
ST. JOSEPH CATHOLIC SCHOOL-PAR,32,6,25 S Spruce St                ,Paris               ,AR,72855,Fr. ,Reginald            ,               ,Udouj                    ,PARIS SCHOOL DISTRICT,4203000,64,P ,8,Y,N,N,
ST. MARY'S SCHOOL - PARAGOULD ,32,6,310 N. 2nd St.                ,Paragould           ,AR,72450,Mrs.,Lee                 ,Ann            ,Owen                     ,PARAGOULD SCHOOL DISTRICT,2808000,58,P ,6,Y,Y,Y,
ST. PAUL CATHOLIC SCHOOL - POC,32,6,311 Cedar Street              ,Pocahontas          ,AR,72455,Mrs.,Rebecca             ,               ,Steimel                  ,POCAHONTAS SCHOOL DISTRICT,6103000,138,P ,6,N,N,N,
ST. RAPHAEL CATHOLIC SCHOOL - ,32,6,1386 South West End St.       ,Springdale          ,AR,72764,    ,Denise              ,               ,Sanchez                  ,SPRINGDALE SCHOOL DISTRICT,7207000,45,P ,P ,N,N,N,
ST. THERESA CATHOLIC SCHOOL - ,32,6,6311 BASELINE RD.             ,LITTLE ROCK         ,AR,72209,MS. ,KRISTY              ,               ,DUNN                     ,LITTLE ROCK SCHOOL DISTRICT,6001000,227,P ,8,Y,Y,Y,
ST. VINCENT DE PAUL CATHOLIC -,32,6,1315 W. Cypress St.           ,Rogers              ,AR,72758,    ,Alice               ,               ,Stautzenberger           ,ROGERS SCHOOL DISTRICT,405000,371,P ,8,Y,Y,N,
ST. VINCENT DE PAUL CATHOLIC -,32,6,1315 W CYPRESS                ,ROGERS              ,AR,72758,MRS ,ALICE               ,               ,STAUTZENBERGER           ,PEA RIDGE SCHOOL DISTRICT,407000,0,P ,8,N,N,N,
SUBIACO ACADEMY - SUBIACO     ,32,6,405 N. Subiaco Ave.           ,Subiaco             ,AR,72865,Mr. ,Pat                 ,               ,Franz                    ,CLARKSVILLE SCHOOL DISTRICT,3601000,0,7,12,N,N,N,
